,id,name,genre,start_date,rating,votes,n_episodes,runtime1,runtime2,user_reviews,critic_reviews,cast
24,tt1405406,The Vampire Diaries,Drama,2009,7.8,"239,028",171,43min,43,320,57,"Chris Grismer, Joshua Butler, Michael A. Allowitz, Marcos Siega, Pascal Verschooris, Kellie Cyrus, J. Miller Tobin, John Behring, Jeffrey G. Hunt, Rob Hardy"
25,tt0386676,The Office,Comedy,2005,8.8,"229,127",188,22min,22,533,75,"Paul Feig, Randall Einhorn, Ken Kwapis, Greg Daniels, Jeffrey Blitz, Ken Whittingham, David Rogers, Charles McDougall, Matt Sohn, Paul Lieberstein"
26,tt0367279,Arrested Development,Comedy,2003,8.9,"228,346",85,22min,22,300,63,"Mitchell Hurwitz, Troy Miller, Joe Russo, Paul Feig, Anthony Russo, Lee Shallat Chemel, Jay Chandrasekhar, Greg Mottola, John Fortenberry, Peter Lauer"
27,tt4158110,Mr. Robot,Crime,2015,8.6,"227,813",32,49min,49,412,73,"Sam Esmail, Jim McKay, Tricia Brock, Deborah Chow, Nisha Ganatra, Niels Arden Oplev, Christoph Schrewe, Sam Esmail, Randolph Leon, Adam Penn"
28,tt3107288,The Flash,Action,2014,8.1,"226,029",92,43min,43,373,57,"Dermott Downs, Glen Winter, Ralph Hemecker, Jesse Warn, Millicent Shelton, Rob Hardy, J.J. Makaro, Stefan Pleszczynski, John F. Showalter, Armen V. Kevorkian"
29,tt2372162,Orange Is the New Black,Comedy,2013,8.2,"220,074",68,59min,59,225,87,"Andrew McCarthy, Phil Abraham, Michael Trim, Constantine Makris, Uta Briesewitz, Mark A. Burley, Jodie Foster, Jesse Peretz, Erin Feeley, Matthew Penn"
30,tt1844624,American Horror Story,Drama,2011,8.2,"216,021",86,1h,1,342,151,"Bradley Buecker, Alfonso Gomez-Rejon, Michael Uppendahl, Loni Peristere, Ryan Murphy, Michael Goi, Michael Lehmann, David Semel, Howard Deutch, Jeremy Podeswa"
31,tt2802850,Fargo,Crime,2014,9,"215,576",30,53min,53,220,64,"Michael Uppendahl, Keith Gordon, Randall Einhorn, Adam Bernstein, Colin Bucksey, Matt Shakman, Scott Winant, Noah Hawley, Adam Arkin, Jeffrey Reiner"
32,tt0141842,The Sopranos,Crime,1999,9.2,"213,397",86,55min,55,345,93,"Timothy Van Patten, John Patterson, Allen Coulter, Alan Taylor, Henry Bronchtein, Jack Bender, Steve Buscemi, Daniel Attias, David Chase, Nick Gomez"
33,tt0306414,The Wire,Crime,2002,9.3,"211,790",60,59min,59,283,69,"Joe Chappelle, Ernest R. Dickerson, Clark Johnson, Ed Bianchi, Steve Shill, Daniel Attias, Timothy Van Patten, Agnieszka Holland, Brad Anderson, Clement Virgo"
34,tt0844441,True Blood,Drama,2008,7.9,"209,949",81,55min,55,292,196,"Michael Lehmann, Scott Winant, Daniel Minahan, Howard Deutch, John Dahl, Michael Ruscio, Anthony Hemingway, Alan Ball, Lesli Linka Glatter, David Petrarca"
35,tt0369179,Two and a Half Men,Comedy,2003,7.1,"209,877",262,22min,22,293,52,"James Widdoes, Gary Halvorson, Pamela Fryman, Jeff Melman, Rob Schiller, Andy Ackerman, Ted Wass, Andrew D. Weyman, Lee Aronsohn, Jon Cryer"
36,tt0813715,Heroes,Drama,2006,7.7,"209,286",79,45min,45,382,72,"Greg Beeman, Allan Arkush, Jeannot Szwarc, Adam Kane, Greg Yaitanes, Paul A. Edwards, Roxann Dawson, Jim Chory, John Badham, Paul Shapiro"
37,tt0285403,Scrubs,Comedy,2001,8.4,"208,015",182,22min,22,310,67,"Michael Spiller, Bill Lawrence, Adam Bernstein, Ken Whittingham, Chris Koch, Gail Mancuso, Marc Buckland, Will Mackenzie, John Putch, John Inwood"
38,tt0475784,Westworld,Drama,2016,9,"207,258",20,1h,1,316,44,"Jonathan Nolan, Fred Toye, Jonny Campbell, Richard J. Lewis, Michelle MacLaren, Neil Marshall, Vincenzo Natali, Stephen Williams, Jason Lanier Brown, Ed Brubaker"
